UTC,Open,High,Low,Close,Volume
25.04.2022 12:00:00.000 UTC,0.91557,0.91557,0.9155,0.9155,13.820000000000002
25.04.2022 12:00:01.000 UTC,0.9155,0.91553,0.91546,0.91547,14.260000000000002
25.04.2022 12:00:02.000 UTC,0.91546,0.91547,0.91546,0.91547,3.6
25.04.2022 12:00:03.000 UTC,0.91545,0.91545,0.91545,0.91545,2.7
25.04.2022 12:00:05.000 UTC,0.9155,0.9155,0.91548,0.91549,4.34
25.04.2022 12:00:06.000 UTC,0.91545,0.91545,0.91527,0.91527,10.48
25.04.2022 12:00:07.000 UTC,0.91522,0.9153,0.91522,0.91527,16.18
25.04.2022 12:00:08.000 UTC,0.91522,0.91533,0.91522,0.91533,8.08
25.04.2022 12:00:09.000 UTC,0.9153,0.91533,0.91527,0.91533,13.34
25.04.2022 12:00:10.000 UTC,0.9153,0.91536,0.9153,0.91536,9.12
25.04.2022 12:00:11.000 UTC,0.91535,0.91537,0.91535,0.91535,11.46
25.04.2022 12:00:12.000 UTC,0.91536,0.91537,0.91536,0.91537,6.4
25.04.2022 12:00:13.000 UTC,0.91538,0.91538,0.91538,0.91538,1.44
25.04.2022 12:00:14.000 UTC,0.91539,0.91539,0.91536,0.91536,4.34
25.04.2022 12:00:15.000 UTC,0.91534,0.91535,0.91534,0.91535,5.96
25.04.2022 12:00:16.000 UTC,0.91536,0.91537,0.91536,0.91537,4.8
25.04.2022 12:00:19.000 UTC,0.91539,0.91539,0.91539,0.91539,1.2
25.04.2022 12:00:20.000 UTC,0.91535,0.91538,0.91535,0.91536,9.2
25.04.2022 12:00:21.000 UTC,0.91536,0.91539,0.91536,0.91537,10.44
25.04.2022 12:00:22.000 UTC,0.91535,0.91535,0.91535,0.91535,3.7199999999999998
25.04.2022 12:00:24.000 UTC,0.91536,0.91536,0.91536,0.91536,1.8
25.04.2022 12:00:25.000 UTC,0.91536,0.91536,0.91536,0.91536,1.8
25.04.2022 12:00:26.000 UTC,0.91536,0.91538,0.91536,0.91538,3
25.04.2022 12:00:27.000 UTC,0.91539,0.9154,0.91539,0.91539,9.28
25.04.2022 12:00:28.000 UTC,0.91538,0.9154,0.91537,0.91537,5.54
25.04.2022 12:00:29.000 UTC,0.91536,0.91536,0.91536,0.91536,2.66
25.04.2022 12:00:30.000 UTC,0.91535,0.91536,0.91535,0.91536,2.4
25.04.2022 12:00:31.000 UTC,0.91533,0.91533,0.91529,0.91531,13.780000000000001
